LocationType,Location,Race,TimeFrame,DataFormat,Income
County,Walla Walla,American Indian and Alaska Native,2005-2009,Currency,"*$18,375"
County,Walla Walla,American Indian and Alaska Native,2006-2010,Currency,"*$44,583"
County,Walla Walla,American Indian and Alaska Native,2007-2011,Currency,76289
County,Walla Walla,American Indian and Alaska Native,2008-2012,Currency,75926
County,Walla Walla,American Indian and Alaska Native,2009-2013,Currency,"*$66,071"
County,Walla Walla,American Indian and Alaska Native,2010-2014,Currency,51484
County,Walla Walla,American Indian and Alaska Native,2011-2015,Currency,S
County,Walla Walla,American Indian and Alaska Native,2012-2016,Currency,36932
County,Walla Walla,American Indian and Alaska Native,2013-2017,Currency,50484
County,Walla Walla,American Indian and Alaska Native,2014-2018,Currency,NA
County,Walla Walla,American Indian and Alaska Native,2015-2019,Currency,54219
County,Whatcom,American Indian and Alaska Native,2005-2009,Currency,"*$45,774"
County,Whatcom,American Indian and Alaska Native,2006-2010,Currency,"*$47,621"
County,Whatcom,American Indian and Alaska Native,2007-2011,Currency,"*$44,107"
County,Whatcom,American Indian and Alaska Native,2008-2012,Currency,"*$44,036"
County,Whatcom,American Indian and Alaska Native,2009-2013,Currency,"*$43,527"
County,Whatcom,American Indian and Alaska Native,2010-2014,Currency,42250
